en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
What is your email address	Vad är din email adress	ما هو عنوان البريد الإلكتروني الخاص بك	Wie lautet deine E-Mail Adresse	Sizin e-mail nədir	Quelle est ton adresse email	Zein da zure e-posta helbidea	Wat is jouw email adres	Какой твой почтовый адрес	Што ваш адрас электроннай пошты	Qual è il tuo indirizzo e-mail	Какъв е вашият имейл адрес	Cuál es tu dirección de correo electrónico	Quin és la seva adreça de correu electrònic	Jaki jest Twój adres e-mail	Địa chỉ email của bạn là gì	Koja je tvoja E-mail adresa	あなたのメールアドレスは何ですか	Jaká je vaše e-mailová adresa	Hvad er din e-mail-adresse	Qual é o seu endereço de e-mail	Що вашу адресу електронної пошти	Kio estas via retadreso	آدرس ایمیلت چیه	Mis on teie e-posti aadress	Која је ваша емаил адреса	Mikä on sähköpostiosoitteesi	Hva er din e-postadresse	Apa alamat email Anda	Cal é o teu enderezo de correo electrónico	귀하의 이메일 주소는 무엇인가	Რა არის თქვენი ელ - ფოსტის მისამართი	Mi az e-mail címed	Ποια είναι η διεύθυνση ηλεκτρονικού ταχυδρομείου σας	Care este adresa ta de email	आपका ईमेल पता क्या है	E-mail adresin nedir	Apakah alamat e-mel anda	Aká je vaša e-mailová adresa	Quod vestri email oratio	Kāda ir jūsu e-pasta adrese	Koks tavo elektroninio pašto adresas	Која е вашата e-mail адреса	Kaj je vaš e-poštni naslov	آپ کا ای میل ایڈریس کیا ہے	สิ่งที่เป็นที่อยู่อีเมลของคุณ	உங்களுடைய மின்னஞ்சல் முகவரி என்ன	Beth yw eich cyfeiriad e-bost	Wat is jou e-pos adres	Çfarë është adresa juaj e emailit	আপনার ইমেল ঠিকানা কি	Ano ang iyong email address	మీ ఇమెయిల్ చిరునామా ఏమిటి	Ki sa ki adrès imel ou	Ni nini anwani ya barua pepe	Cad é do sheoladh ríomhphoist	Hvað er netfangið þitt	તમારું ઇમેઇલ સરનામું શું છે	ನಿಮ್ಮ ಇಮೇಲ್ ವಿಳಾಸ ಯಾವುದು	וואָס איז דיין E- פּאָסט אַדרעס
Where are you going?	Vart ska du?	إلى أين تذهب؟	Wo gehst du hin?	Hara gedirsen?	Où allez-vous?	Nora zoaz?	Waar ga je naar toe?	Куда ты собираешься?	Куды ты ідзеш?	Dove stai andando?	Къде отиваш?	¿A dónde vas?	A on vas?	Gdzie idziesz?	Bạn đi đâu?	Gdje ideš?	どこに行くの？	Kam jdeš?	Hvor skal du hen?	Onde você vai?	Куди ти йдеш?	Kien vi iras?	کجا میری؟	Kuhu sa lähed?	Где идеш?	Minne olet menossa?	Hvor skal du?	Kemana kamu pergi?	Onde está indo?	어디가는거야?	Სად მიდიხარ?	Hová mész?	Πού πηγαίνεις?	Unde te duci?	तुम कहाँ जा रहे हो?	Nereye gidiyorsun?	Anda mahu ke mana?	Kam ideš?	Ubi is?	Kur tu ej?	Kur tu eini?	Каде одиш?	Kam greš?	آپ کہاں جا رہے ہیں؟	คุณกำลังจะไปไหน?	நீ எங்கே போகிறாய்?	Ble wyt ti'n mynd?	Waar gaan jy heen?	Ku po shkon?	আপনি কোথায় যাচ্ছেন?	Saan ka pupunta?	మీరు ఎక్కడికి వెళుతున్నారు?	Ki kote ou prale?	Unaenda wapi?	Cá bhfuil tú ag dul?	Hvert ertu að fara?	તમે ક્યાં જાવ છો?	ನೀವು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದೀರಾ?	וואו גייסטו?
Where are we going?	Vart är vi på väg?	إلى أين نحن ذاهبون؟	Wohin gehen wir?	biz hara gedir?	Où allons-nous?	Nora goaz?	Waar gaan we naartoe?	Куда мы идем?	Куды мы ідзем?	Dove stiamo andando?	Къде отиваме?	¿A dónde vamos?	On estem anant?	Gdzie idziemy?	Chúng ta đang đi đâu vậy?	Gdje idemo?	私達はどこに行くの？	Kam jdeme?	Hvor er vi på vej hen?	Onde estamos indo?	Куди ми йдемо?	Kien ni iras?	به کجا می رویم؟	Kuhu me läheme?	Где ми то идемо?	Minne olemme menossa?	Hvor skal vi?	Kemana kita akan pergi?	A onde imos?	우리 어디가는거야?	Სად მივდივართ?	Hová megyünk?	Που πάμε?	Unde mergem?	हम कहा जा रहे है?	Nereye gidiyoruz?	Kemana kita akan pergi?	Kam ideme?	Quo tendimus?	Kur mēs ejam?	Kur mes einame?	Каде одиме?	Kam gremo?	ہم کہاں جا رہے ہیں؟	เราจะไปที่ไหน?	நாம் எங்கே செல்கிறோம்?	Ble ydyn ni'n mynd?	Waarheen gaan ons?	Ku po shkojme?	আমরা কোথায় যাচ্ছি?	Saan tayo pupunta?	మనము ఎక్కడికి వెళ్తున్నాము?	Ki kote nou prale?	Tunaenda wapi?	Cá bhfuil muid ag dul?	Hvert erum við að fara?	આપણે ક્યાં જઇ રહ્યા છીએ?	ನಾವು ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತಿದ್ದೇವೆ?	וואו זענען מיר געגאנגען?
happy birthday	Grattis på födelsedagen	عيد ميلاد سعيد	Alles Gute zum Geburtstag	Ad günün mübarək	Bon anniversaire	Zorionak	fijne verjaardag	С Днем Рождения	З Днём Нараджэння	buon compleanno	Честит Рожден ден	feliz cumpleaños	feliç aniversari	Wszystkiego najlepszego	chúc mừng sinh nhật	sretan rođendan	お誕生日おめでとうございます	Všechno nejlepší k narozeninám	Tillykke med fødselsdagen	feliz Aniversário	З Днем Народження	Feliĉan naskiĝtagon	تولدت مبارک	palju õnne sünnipäevaks	срећан рођендан	hyvää syntymäpäivää	Gratulerer med dagen	Selamat ulang tahun	feliz Aniversario	생일 축하 해요	გილოცავ დაბადების დღეს	boldog születésnapot	χαρούμενα γενέθλια	la multi ani	जन्मदिन की शुभकामनाएं	iyi ki doğdun	selamat Hari lahir	šťastné narodeniny	felix natalis	daudz laimes dzimšanas dienā	su gimtadieniu	среќен роденден	vse najboljše	سالگرہ مبارک	สุขสันต์วันเกิด	பிறந்தநாள் வாழ்த்துக்கள்	penblwydd hapus	gelukkige verjaarsdag	Gëzuar ditëlindjen	শুভ জন্মদিন	Maligayang kaarawan	పుట్టినరోజు శుభాకాంక్షలు	bòn fèt	furaha ya kuzaliwa	lá breithe shona duit	til hamingju með afmælið	જન્મદિવસ ની શુભકામના	ಹುಟ್ಟುಹಬ್ಬದ ಶುಭಾಶಯಗಳು	גליקלעך דיין געבורסטאָג
enjoy your meal	Smaklig måltid	أتمنى لك وجبة شهية	Guten Appetit	Nuş olsun	bon appétit	On egin	eet smakelijk	приятного аппетита	смачна есці	Buon Appetito	приятен апетит	disfrute de su comida	que aprofiti	smacznego	ăn ngon miệng nhé	uživajte u jelu	どうぞお召し上がりください	dobrou chuť	nyde dit måltid	desfrute de sua refeição	смачного	ĝuu vian manĝon	نوش جان	Naudi oma einet	пријатно	Nauti ateriastasi	Nyt måltidet	silakan dinikmati makanannya	Disfruta da comida	맛있게 드세요	გემრიელად მიირთვით	Jó étvágyat	καλή όρεξη	Bucura-te de masa ta	अपने भोजन का आनंद लें	afiyet olsun	nikmati hidangan anda	dobrú chuť	cenam vestram fruimini	labu apetīti	skanaus	пријатен оброк	dober tek	اپنے کھانے کا لطف اٹھاؤ	ทานให้อร่อย	உணவை இரசித்து உண்ணுங்கள்	Mwynhewch eich bwyd	geniet jou ete	të bëftë mirë	আপনার খাবার উপভোগ করুন	masiyahan kayo sa inyong pagkain	మీ భోజనం ఆనందించండి	bon apeti	Furahia mlo wako	taitneamh a bhaint as do chuid béile	Njóttu máltíðarinnar	તમારા ભોજન આનંદ	ನಿಮ್ಮ ಊಟ ಆನಂದಿಸಿ	הנאה דיין מאָלצייַט
enjoy yourself	ha det så trevligt	استمتع	Viel Spaß	zövq al	Amusez-vous bien	gozatu	genieten	наслаждайся	атрымліваць асалоду ад	divertiti	забавлявай се	Diviértete	Gaudeix	baw się dobrze	hòa mình	uživaj	自分自身を楽しみます	Užij si to	Nyd dig selv	divirta-se	насолоджуйся	Amuziĝu	لذت بردن از خود	Naudi ennast	уживај	nauti	kos deg	menikmati diri sendiri	divírtete	너 자신을 즐겨	ისიამოვნე	érezd jól magad	Να περάσεις καλά	simte-te bine	तुम मजे करो	iyi eğlenceler	berseronok	baviť	epulare	Izbaudi sevi	mėgaukis	Уживај	uživaj	اپنے آپ سے لطف اندوز	สนุกกับตัวเอง	சந்தோஷமாக இருங்கள்	Mwynha dy hun	geniet jouself	kenaqu	নিজেকে উপভোগ কর	Magpakasaya ka	సంతోషంగా ఉండు	jwi tèt ou	kufurahia mwenyewe	taitneamh a bhaint as duit féin	Njóttu þín	તમારી જાતે મજા કરો	ಆನಂದಿಸಿ	האב הנאה
I have to go now	jag måste gå nu	يجب أن أذهب الآن	ich muss jetzt gehen	Mən indi getməliyəm	je dois partir maintenant	orain joan behar dut	ik moet nu gaan	сейчас я должен идти	Я павінен ісці	devo andare ora	трябва да тръгвам сега	tengo que irme ahora	He d'anar ara	muszę teraz iść	Tôi phải đi ngay bây giờ	moram ići sada	今行かなければならない	musím teď jít	jeg skal gå nu	Eu tenho que ir agora	мені треба йти	mi devas iri nun	مجبورم که الان برم	ma pean nüüd minema	сада морам да идем	minun täytyy mennä nyt	jeg må gå nå	aku harus pergi sekarang	Teño que marchar agora	지금 가야	უნდა წავიდე	most mennem kell	πρέπει να φύγω τώρα	trebuie să plec acum	मुझे अब जाना होगा	şimdi gitmeliyim	saya perlu pergi sekarang	už musím ísť	Debeo abire nunc	man tagad jāiet	aš jau turiu eiti	морам да одам сега	Moram iti zdaj	مجھے اب جانا ھے	ฉันต้องไปแล้ว	நான் இப்போது போக வேண்டும்	rhaid i mi fynd nawr	ek moet nou gaan	më duhet të iki tani	আমার এখনি যেতে হবে	kailangan ko nang umalis ngayon	నేను ఇప్పుడు వెళ్ళాలి	fok mwen Ale kounya	lazima niende sasa	caithfidh mé imeacht anois	ég þarf að fara núna	મારે હવે જવુ પડશે	ನಾನು ಈಗ ಹೋಗಬೇಕಾಗುತ್ತದೆ	איך דארף שוין גיין
I have to go	Jag måste gå	يجب على أن أذهب	ich muss gehen	Mən getməliyəm	je dois y aller	joan beharra daukat	ik moet gaan	я должен идти	Мне трэба ісці	devo andare	трябва да тръгвам	tengo que ir	he de marxar	muszę iść	tôi phải đi	moram ići	私が行かなければならない	musím jít	jeg bliver nødt til at gå	Eu tenho que ir	я мушу йти	Mi devas iri	من برای رفتن	ma pean minema	морам да идем	minun täytyy mennä	jeg må gå	saya harus pergi	teño que marchar	가야 해요	უნდა წავიდე	mennem kell	πρέπει να φύγω	trebuie sa plec	मुझे जाना है	Gitmek zorundayım	saya perlu pergi	musím ísť	exire debeo	man ir jāiet	aš turiu eiti	морам да одам	moram iti	مجھے جانا ہے	ฉันต้องไปแล้ว	நான் போக வேண்டும்	rhaid i mi fynd	Ek moet gaan	Me duhet te shkoj	আমার যেতে হবে	kailangan ko ng umalis	నేను వెళ్ళాలి	mwen dwe ale	Mimi kwenda	Caithfidh mé imeacht	ég verð að fara	હું જવા માટે હોય છે	ನಾನು ಹೊಗಬೇಕು	איך דארף גיין
I have to go to work	jag måste gå till jobbet	يتوجب علي الذهاب إلى العمل	ich muss zur Arbeit gehen	İşə getməliyəm	je dois aller travailler	lanera joan behar dut	ik moet gaan werken	я должен идти на работу	Я павінен ісці на працу	Devo andare a lavorare	Аз трябва да отида на работа	Tengo que ir a trabajar	he d'anar a treballar	Muszę iść do pracy	Tôi phải đi làm đây	moram ići na posao	私は仕事に行かなければなりません	musím do práce	Jeg er nødt til at gå på arbejde	Eu tenho que ir trabalhar	Я повинен йти на роботу	Mi devas iri al laboro	من بايد برم سر كار	Ma pean tööle minema	Морам да идем на посао	minun pitää mennä töihin	Jeg må gå på jobb	saya harus pergi bekerja	Teño que ir ao traballo	나는 직장에 가야	უნდა წავიდე სამუშაოდ	mennem kell dolgozni	Πρέπει να πάω στη δουλειά	Trebuie sa merg la munca	मुझे काम पे जाना है	İşe gitmek zorundayım	saya perlu pergi ke kerja	musím ísť do práce	Ego autem vadam ad opus	man jādodas uz darbu	aš turiu eiti į darbą	Морам да одам на работа	moram v službo	مجھے کام پر جانا ہے	ฉันต้องไปทำงาน	நான் வேலைக்கு செல்ல வேண்டும்	rhaid i mi fynd i'r gwaith	ek moet werk toe gaan	më duhet të shkoj në punë	আমি কাজ করতে যেতে হবে	Mayroon akong upang pumunta sa trabaho	నేను పనికి వెళ్ళాలి	Mwen gen pou yo ale nan travay	Mimi kwenda kwa kazi	Caithfidh mé dul go dtí an obair	Ég verð að fara að vinna	મારે કામે જવુ જ પડશે	ನಾನು ಕೆಲಸಕ್ಕೆ ಹೋಗಬೇಕಾಗುತ್ತದೆ	איך האָבן צו גיין צו אַרבעטן
I have to go home	jag måste gå hem	يجب ان اذهب إلى المنزل	ich muss nach Hause gehen	Mən evə getmək üçün var	je dois rentrer à la maison	etxera joan behar dut	ik moet naar huis	я должен идти домой	Я павінен ісці дадому	devo andare a casa	трябва да си ходя вкъщи	Tengo que ir a casa	He de tornar a casa	Muszę iść do domu	tôi phải về nhà	Moram ići kući	家に帰らなければ	musím jít domů	Jeg er nødt til at gå hjem	Eu tenho que ir para casa	Я повинен йти додому	Mi devas iri hejmen	من باید برم خونه	ma pean koju minema	Морам да идем кући	minun täytyy mennä kotiin	jeg må hjem	Aku harus pulang	Teño que ir a casa	나는 집에 가야	მე უნდა წავიდეს სახლში	haza kell mennem	πρέπει να πάω σπίτι	Trebuie să merg acasă	मुझे घर जाना होगा	eve gitmek zorundayım	Saya perlu pulang ke rumah	musím ísť domov	Ego autem vade in domum tuam	Man ir jāiet mājās	aš turiu eiti namo	Морам да си одам дома	Moram iti domov	میں گھر جانا ہے	ฉันต้องไปที่บ้าน	நான் வீட்டிற்கு போக வேண்டும்	rhaid i mi fynd adref	Ek moet huis toe gaan	Unë duhet të shkoj në shtëpi	আমার বাড়ি যেতে হবে	Kailangan kong pumunta sa bahay	నేను ఇంటికి వెళ్ళాలి	Mwen gen yo ale lakay yo	Nina kwenda nyumbani	Tá mé an baile le dul	Ég verð að fara heim	હું ઘરે જવું પડે	ನಾನು ಮನೆಗೆ ಹೋಗಬೇಕಾಗುತ್ತದೆ	איך האָבן צו גיין היים
I have to go to school	jag måste gå till skolan	علي الذهاب إلى المدرسة	ich muss in die Schule gehen	məktəbə getməliyəm	je dois aller à l'école	eskolara joan behar dut	ik moet naar school gaan	я должен идти в школу	Я павінен ісці ў школу	devo andare a scuola	Аз трябва да ходят на училище	tengo que ir a la escuela	He d'anar a l'escola	muszę iść do szkoły	tôi phải đi học	moram ići u školu	私は学校に行かなければならない	musím jít do školy	jeg er nødt til at gå i skole	Eu tenho que ir para a escola	Я повинен йти в школу	Mi devas iri al lernejo	من باید به مدرسه بروم	ma pean kooli minema	Морам да идем у школу	minun täytyy mennä kouluun	jeg må gå på skole	saya harus pergi ke sekolah	Teño que ir á escola	나는 학교에 가야	მაქვს, რომ სკოლაში	iskolába kell mennem	πρέπει να πάω σχολείο	Trebuie sa merg la scoala	मुझे स्कूल जाना है	okula gitmem gerek	saya perlu pergi ke sekolah	musím ísť do školy	Ego autem vadam ad scholam	Man ir jāiet uz skolu	aš turiu eiti į mokyklą	морам да одам на училиште	Moram iti v šolo	مجھے سکول جانا ھو گا	ฉันต้องไปโรงเรียน	நான் பள்ளிக்கு செல்ல வேண்டும்	Mae'n rhaid i mi fynd i'r ysgol	ek moet skool toe gaan	me duhet te shkoj ne shkolle	আমাকে স্কুলে যেতে হবে	Kailangan ko bang pumunta sa paaralan	నేను పాఠశాలకు వెళ్ళడానికి కలిగి	Mwen gen pou yo ale nan lekòl	Nina kwenda shule	Caithfidh mé dul ar scoil	Ég verð að fara í skólann	હું શાળાએ જવું પડે	ನಾನು ಶಾಲೆಗೆ ಹೋಗಬೇಕು	איך האָבן צו גיין צו שולע
