,sv,ar,de,az,fr,eu,nl,ru,be,it,bg,es,ca,pl,vi,hr,ja,cs,da,pt,uk,eo,fa,et,sr,fi,no,id,gl,ko,ka,hu,el,ro,hi,tr,ms,sk,la,lv,lt,mk,sl,ur,th,ta,cy,af,sq,bn,tl,te,ht,sw,ga,is,gu,kn,yi
I'd like to go for a walk.,Jag skulle vilja gå på en promenad.,أود أن تذهب في نزهة على الأقدام.,Ich würde gerne für einen Spaziergang machen.,Mən gəzintiyə getmək istəyirəm.,Je voudrais faire une promenade.,bueltatxo bat egin nahi nuke.,Ik zou willen gaan voor een wandeling.,Я хотел бы пойти на прогулку.,Я хацеў бы пайсці на шпацыр.,Mi piacerebbe andare a fare una passeggiata.,Бих искал да отидете на разходка.,Me gustaría ir a dar un paseo.,M'agradaria anar a fer una passejada.,Chciałabym pójść na spacer.,Tôi muốn đi dạo.,Htio bih ići u šetnju.,私は散歩に行きたいと思います。,Chtěl bych jít na procházku.,Jeg vil gerne gå en tur.,Eu gostaria de ir para uma caminhada.,Я хотів би піти на прогулянку.,Mi ŝatus promeni.,من می خواهم به برای پیاده روی بروید.,Sooviksin minna jalutama.,Волео бих да одем у шетњу.,Haluaisin mennä kävelylle.,Jeg ønsker å gå en tur.,Saya ingin pergi untuk berjalan-jalan.,Gustaríame ir a unha camiña.,나는 산책을 가고 싶습니다.,"მე მინდა, რომ წავიდეთ სასეირნოდ.",Szeretnék sétálni.,Θα ήθελα να πάω μια βόλτα.,Aș vrea să merg la o plimbare.,मैं टहलने के लिए जा करना चाहते हैं।,Ben yürüyüşe gitmek istiyorum.,Saya ingin pergi untuk berjalan-jalan.,Chcel by som ísť na prechádzku.,Volo ut deambulatio est.,Es gribētu iet pastaigāties.,Norėčiau eiti pasivaikščioti.,Би сакал да одам на прошетка.,Rad bi šel na sprehod.,میں نے ایک سیر کے لئے جانا چاہتے ہیں.,ผมอยากจะไปเดินเล่น,நான் ஒரு நடைப்பயணத்திற்கு செல்ல விரும்புகிறேன்.,Hoffwn i fynd am dro.,Ek wil graag om te gaan vir 'n wandeling.,Unë do të doja të shkoj për një shëtitje.,আমি হাঁটতে যেতে চাই।,Gusto kong maglakad-lakad.,నేను ఒక నడక కోసం వెళ్ళి అవ్వాలనుకుంటే.,Mwen ta renmen pou ale pou yon ti mache.,Ningependa kwenda kwa kutembea.,Ba mhaith liom dul ag siúl.,Mig langar til að fara í göngutúr.,હું એક વોક માટે જાઓ કરવા માંગો છો.,ನಾನು ಒಂದು ವಾಕ್ ಹೋಗಿ ಬಯಸುವ.,איך 'ד ווי צו גיין פֿאַר אַ גיין.
I don't know how to use it.,Jag vet inte hur man använder den.,أنا لا أعرف كيفية استخدامها.,"Ich weiß nicht, wie es zu benutzen.",Mən bunu necə istifadə bilmirəm.,Je ne sais pas comment l'utiliser.,Ez dakit nola erabiltzen den.,Ik weet niet hoe het te gebruiken.,"Я не знаю, как использовать его.","Я не ведаю, як выкарыстоўваць яго.",Non so come usarlo.,Аз не знам как да го използвате.,No sé cómo usarlo.,No sé com usar-lo.,"Nie wiem, jak go używać.",Tôi không biết làm thế nào để sử dụng nó.,Ne znam kako ga koristiti.,私はそれを使用する方法がわかりません。,"Já nevím, jak ji používat.","Jeg ved ikke, hvordan man bruger det.",Eu não sei como usá-lo.,"Я не знаю, як використовувати його.",Mi ne scias kiel uzi ĝin.,من نمی دانم که چگونه به استفاده از آن.,"Ma ei tea, kuidas seda kasutada.",Ја не знам како да га користим.,"En tiedä, miten sitä käytetään.",Jeg vet ikke hvordan den skal brukes.,Aku tidak tahu bagaimana menggunakannya.,Non sei como usalo.,나는 그것을 사용하는 방법을 모르겠어요.,"მე არ ვიცი, თუ როგორ გამოიყენოთ იგი.","Nem tudom, hogyan kell használni.",Δεν ξέρω πώς να το χρησιμοποιήσετε.,Nu știu cum să-l folosească.,मैं इसे कैसे उपयोग करने के लिए पता नहीं है।,Ben nasıl kullanılacağını bilmiyorum.,Saya tidak tahu bagaimana untuk menggunakannya.,"Ja neviem, ako ju používať.",Nescio quomodo ea uti.,"Es nezinu, kā to izmantot.","Aš nežinau, kaip jį naudoti.",Јас не знам како да го користам.,"Ne vem, kako jo uporabljati.",میں نے اسے استعمال کرنے کا طریقہ نہیں جانتے.,ผมไม่ทราบว่าวิธีการใช้งาน,நான் அதை எப்படி பயன்படுத்துவது தெரியாது.,Nid wyf yn gwybod sut i'w ddefnyddio.,Ek weet nie hoe om dit te gebruik.,Unë nuk e di se si të përdorin atë.,আমি এটা কিভাবে ব্যবহার করতে জানি না।,Hindi ko alam kung paano gamitin ito.,నేను ఎలా ఉపయోగించాలో తెలియదు.,Mwen pa konnen ki jan yo sèvi ak li.,Sijui jinsi ya kutumia hiyo.,Níl a fhios agam conas é a úsáid.,Ég veit ekki hvernig á að nota það.,હું તેનો ઉપયોગ કેવી રીતે ખબર નથી.,ನಾನು ಅದನ್ನು ಬಳಸಲು ಹೇಗೆ ಗೊತ್ತಿಲ್ಲ.,איך טאָן ניט וויסן ווי צו נוצן עס.
I don't like him.,Jag tycker inte om honom.,أنا لا أحبه.,Ich mag ihn nicht.,Mən onu sevmirəm.,Je ne l'aime pas.,Ez dut hura gustatzen.,Ik hou niet van hem.,Я не люблю его.,Я не люблю яго.,Non mi piace di lui.,Аз не го харесвам.,No le gusta.,No li agrada.,Ja go nie lubię.,Tôi không thích anh ấy.,Ja ga ne volim.,私は彼を好きではありません。,Nemám ho ráda.,Jeg kan ikke lide ham.,Eu não gosto dele.,Я не люблю його.,Mi ne ŝatas lin.,من او را دوست ندارد.,Mulle ei meeldi talle.,Ја га не воле.,En pidä hänestä.,Jeg liker ikke ham.,Aku tidak menyukainya.,Eu non me gusta del.,나는 그를 좋아하지 않는다.,მე არ მოსწონთ.,Nem szeretem őt.,Δεν τον συμπαθώ.,Nu-mi place de el.,मैं उसे पसंद नहीं है।,Onu sevmiyorum.,Saya tidak suka kepadanya.,Nemám ho rada.,Non similis illi.,Man nepatīk viņu.,Man nepatinka jam.,Јас не му се допаѓа.,Jaz ga ne maram.,میں اسے پسند نہیں کرتے.,ฉันไม่ชอบเขา,நான் அவரை பிடிக்காது.,Dwi ddim yn hoffi iddo.,Ek het hom nie daarvan hou.,Unë nuk e pëlqen atë.,আমি তাকে পছন্দ করি না।,hindi ko gusto sa kanya.,నేను అతనికి ఇష్టం లేదు.,Mwen pa renmen l '.,Sipendi yake.,Ní maith liom é.,Ég er ekki eins og hann.,હું તેને ગમતું નથી.,ನಾನು ಅವನನ್ನು ಇಷ್ಟವಿಲ್ಲ.,איך טאָן ניט ווי אים.
I don't like it.,Jag tycker inte om det.,أنا لا أحب ذلك.,Ich mag es nicht.,Mən bunu istəyirəm deyil.,Je ne l'aime pas.,Ez dut gogoko.,Ik vind het niet leuk.,Я не люблю его.,Я не люблю яго.,Non mi piace.,Аз не го харесвам.,No me gusta eso.,No m'agrada això.,Nie lubię go.,Tôi không thích nó.,Ne sviđa mi se to.,私はそれが気に入りません。,Nelíbí se mi to líbí.,Jeg kan ikke lide det.,Eu não gosto disso.,Я не люблю його.,Mi ne ŝatas ĝin.,من آن را دوست ندارم.,Mulle ei meeldi see.,Ја се не свиђа.,En pidä siitä.,Jeg liker det ikke.,Aku tidak menyukainya.,Eu non me gusta diso.,나는 그것을 좋아하지 않는다.,მე არ მომწონს.,Nem tetszik.,Δεν μου αρέσει.,Nu-mi place.,मुझे यह पसंद नहीं है।,Ben bunu sevmiyorum.,Saya tidak suka.,Nepáči sa mi to páči.,Non placet.,Man tas nepatīk.,Man nepatinka tai.,Не ми се допаѓа.,To mi ni všeč.,مجھے یہ پسند نہیں کرتے.,ฉันไม่ชอบมัน,நான் அதை விரும்பவில்லை.,Dydw i ddim yn ei hoffi.,Ek hou nie daarvan nie.,Unë nuk e pëlqen atë.,আমি এটা পছন্দ করি না।,Hindi ko gusto ito.,నేను ఇష్టం లేదు.,Mwen pa renmen li.,Mimi si kama hayo.,Ní maith liom é.,Ég er ekki eins og það.,હું તેને ગમતું નથી.,ನಾನು ಇಷ್ಟವಿಲ್ಲ.,איך טאָן ניט ווי עס.
I don't speak very well.,Jag talar inte mycket bra.,أنا لا أتكلم بشكل جيد للغاية.,Ich spreche nicht sehr gut.,Mən çox yaxşı danışa bilmirəm.,Je ne parle pas très bien.,"Ez dut hitz egiten, oso ondo.",Ik weet niet zo goed spreken.,Я не очень хорошо говорю.,Я не вельмі добра размаўляю.,Non parlo molto bene.,Аз не говоря много добре.,No hablo muy bien.,No parlo molt bé.,Nie bardzo dobrze mówić.,Tôi không nói được rất tốt.,Ne govorim vrlo dobro.,私は非常によく話すことはありません。,Nemluvím moc dobře.,Jeg taler ikke meget godt.,Eu não falo muito bem.,Я не дуже добре говорю.,Mi ne parolas tre bone.,من به خوبی صحبت نمی کنم.,Ma ei räägi väga hästi.,Ја не говорим добро.,En puhu kovin hyvin.,Jeg snakker ikke veldig godt.,Saya tidak berbicara dengan baik.,Non falo moi ben.,내가 잘 말을하지 않습니다.,"მე არ ვიცი, ძალიან კარგად.",Nem beszélek túl jól.,Δεν μιλάω πολύ καλά.,Nu vorbesc foarte bine.,मैं बहुत अच्छी तरह से बात नहीं करते।,Ben çok iyi konuşan yok.,Saya tidak bercakap dengan baik.,Nehovorím moc dobre.,Non fueris locutus sum nimis.,Es nerunāju ļoti labi.,Aš nekalbu labai gerai.,Јас не зборувам многу добро.,Ne govorim zelo dobro.,مجھے اچھی طرح سے نہیں بولتے.,ฉันไม่พูดดีมาก,நான் நன்றாக பேச வேண்டாம்.,Dydw i ddim yn siarad yn dda iawn.,Ek het nie baie goed praat.,Unë nuk flas shumë mirë.,আমি খুব ভাল কথা বলে না।,hindi ako nagsasalita nang mahusay.,నేను చాలా బాగా మాట్లాడటం లేదు.,Mwen pa pale trè byen.,Sizungumzi vizuri sana.,Ní féidir liom labhairt go han-mhaith.,Ég tala ekki mjög vel.,હું ખૂબ જ સારી રીતે વાત નથી.,ನಾನು ಚೆನ್ನಾಗಿ ಮಾತನಾಡುವುದಿಲ್ಲ.,איך טאָן ניט רעדן זייער געזונט.
I don't understand.,jag förstår inte.,أنا لا أفهم.,Ich verstehe nicht.,Mən başa düşmürəm.,Je ne comprends pas.,Ez dut ulertzen.,Ik begrijp het niet.,Не понимаю.,Не разумею.,Non capisco.,Не разбирам.,No entiendo.,No entenc.,Nie rozumiem.,Tôi không hiểu.,Ne razumijem.,分かりません。,Nerozumím.,Jeg forstår det ikke.,Não estou entendendo.,Не розумію.,Mi ne komprenas.,متوجه نمی شوم.,Ma ei saa aru.,Не разумем.,En ymmärrä.,Jeg forstår ikke.,Saya tidak mengerti.,Non estou entendendo.,이해가 안되는 데요.,მე არ მესმის.,Nem értem.,Δεν καταλαβαίνω.,Nu înțeleg.,मैं नहीं समझा।,Anlamıyorum.,Saya tidak faham.,Nerozumiem.,Enim operor non intellego.,Es nesaprotu.,Nesuprantu.,Јас не ги разбирам.,Ne razumem.,مجھے سمجھ نہیں آتا.,ฉันไม่เข้าใจ,எனக்கு புரியவில்லை.,Nid wyf yn deall.,Ek verstaan ​​nie.,Nuk të kuptoj.,আমি বুঝতে পারিনি।,Hindi ko maintindihan.,నేను అర్థం లేదు.,Mwen pa konprann.,Sielewi.,Ní thuigim.,Ég skil ekki.,હું સમજી શક્યા નથી.,ನಾನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲಾಗಿಲ್ಲ.,איך טאָן ניט פֿאַרשטיין.
I don't want it.,Jag vill inte ha det.,أنا لا أريد ذلك.,Ich will es nicht.,Mən bunu istəmirəm.,Je ne veux pas.,Ez dut nahi du.,Ik wil het niet.,Я не хочу этого.,Я не хачу гэтага.,Io non lo voglio.,Аз не го искам.,Yo no lo quiero.,Jo no ho vull.,Nie chcę go.,Tôi không muốn nó.,Ja to ne želim.,私はそれを望んでいません。,Já to nechci.,Jeg vil ikke have det.,Eu não quero isso.,Я не хочу цього.,Mi ne volas ĝin.,من آن را نمی خواهم.,Ma ei taha seda.,Ја не желим.,En halua sitä.,Jeg vil ikke ha det.,Aku tidak mau itu.,Non quero iso.,나는 그것을 원하지 않는다.,"მე არ მინდა, რომ ეს.",Nem akarom azt.,Δεν το θέλω.,Nu-l vreau.,मैं यह नहीं चाहते।,Ben bunu istemiyorum.,Saya tidak mahu ia.,Ja to nechcem.,Nolo illud facio.,Es negribu to.,"Aš nenoriu, kad ji.",Јас не го сакаат тоа.,Jaz ga ne želim.,میں نے یہ نہیں چاہتی.,ฉันไม่ต้องการมัน,நான் அதை விரும்பவில்லை.,Dydw i ddim eisiau.,Ek wil dit nie.,Unë nuk e duan atë.,আমি এটা চাই না।,Hindi ko nais ito.,నేను వద్దు.,Mwen pa vle li.,Sitaki yake.,Níl mé ag iarraidh é.,Ég vil það ekki.,હું તેને ન માંગતા નથી.,ನಾನು ಬಯಸುವುದಿಲ್ಲ.,איך טאָן ניט ווילן עס.
I don't want that.,Jag vill inte ha det.,أنا لا أريد ذلك.,"Ich will nicht, dass.","Hesab edirəm ki, istəmirəm.",Je ne veux pas que.,Ez dut nahi hori.,Ik wil dat niet.,Я не хочу этого.,Я не хачу гэтага.,Non voglio questo.,Аз не искам това.,No quiero eso.,No vull això.,Nie chcę tego.,Tôi không muốn điều đó.,Ne želim to.,私はそれを望んでいません。,Nechci to.,Jeg vil ikke have det.,Eu não quero isso.,Я не хочу цього.,Mi ne volas tion.,من نمی خواهم که نیست.,Ma ei taha seda.,Не желим то.,En halua sitä.,Jeg vil ikke ha det.,Saya tidak ingin itu.,Non quero iso.,나는 그것을 원하지 않는다.,"მე არ მინდა, რომ.",Nem akarom ezt.,Δεν θέλω αυτό.,Nu vreau asta.,मुझे लगता है कि नहीं करना चाहती।,Ben bunu istemiyorum.,Saya tidak mahu itu.,Nechcem to.,Nolo esse.,"Es negribu, ka.","Aš nenoriu, kad.",Јас не го сакаат тоа.,"Ne želim, da.",میں نے یہ نہیں چاہتی.,ฉันไม่ต้องการที่,நான் அந்த விரும்பவில்லை.,Dydw i ddim eisiau hynny.,Ek wil nie dat.,Unë nuk dua që.,আমি যে চাই না।,Hindi ko nais na.,నేను ఆ వద్దు.,Mwen pa vle sa.,Sitaki hiyo.,Níl mé ag iarraidh sin.,Ég vil það ekki.,હું માનું છું કે નથી માંગતા.,ನಾನು ಬಯಸುವುದಿಲ್ಲ.,איך טאָן ניט ווילן אַז.
I don't want to bother you.,Jag vill inte besvära dig.,أنا لا أريد أن أزعجك.,"Ich will nicht, Sie stören.",Mən sizi narahat etmək istəmirəm.,Je ne veux pas vous déranger.,Ez dut nahi duzu traba.,Ik wil niet dat ik u stoor.,Я не хочу вас беспокоить.,Я не хачу вас турбаваць.,Non voglio disturbarla.,Аз не искам да ви притеснява.,No quiero molestarle.,No vull molestar-lo.,Nie chcę wam przeszkadzać.,Tôi không muốn làm phiền bạn.,Ne želim vas gnjaviti.,私はあなたを気にする必要はありません。,Nechci vás obtěžovat.,Jeg ønsker ikke at genere dig.,Eu não quero incomodá-lo.,Я не хочу вас турбувати.,Mi ne volas ĝeni vin.,من نمی خواهم به شما زحمت.,Ma ei taha vaeva teid.,Не желим да вам сметам.,En halua vaivata sinua.,Jeg ønsker ikke å bry deg.,Aku tidak ingin mengganggu Anda.,Non quero incomodá-lo.,나는 당신을 귀찮게하고 싶지 않아요.,"მე არ მინდა, რომ შეგაწუხოთ.",Nem akarom zavarni.,Δεν θέλω να σας ενοχλεί.,Nu vreau să te deranjez.,मैं तुम्हें परेशान करने के लिए नहीं चाहते।,Sizi rahatsız etmek istemem.,Saya tidak mahu mengganggu anda.,Nechcem vás obťažovať.,Nolo iam tibi molestum est.,"Es nevēlos, lai apnikt jums.","Aš nenoriu, kad nerimauti jums.",Не сакам да ви пречи.,"Ne želim, da vas motim.",میں نے آپ کو پریشان نہیں کرنا چاہتی.,ฉันไม่ต้องการรบกวนคุณ,நான் உங்களை தொந்தரவு செய்ததற்கு விரும்பவில்லை.,Nid wyf am i trafferthu chi.,Ek wil nie jou pla.,Unë nuk dua të shqetësojë ty.,আমি তোমাকে বিরক্ত করতে চান না।,Hindi ko nais na mag-abala sa iyo.,నేను మీరు ఇబ్బంది వద్దు.,Mwen pa vle deranje ou.,Sitaki kwa unakukera.,Níl mé ag iarraidh a bodhraigh leat.,Ég vil ekki að trufla þig.,હું તમને ચિંતા ન માંગતા નથી.,ನಾನು ನಿಮಗೆ ಏನೂ ತೊಂದರೆ ಬಯಸುವುದಿಲ್ಲ.,איך טאָן ניט ווילן צו אַרן איר.
I feel good.,Jag mår bra.,أنا أشعر بأني بخير.,Ich fühle mich gut.,Özümü yaxşı hiss edirəm.,Je me sens bien.,Ondo sentitzen naiz.,Ik voel mij goed.,Я чувствую себя хорошо.,Я адчуваю сябе добра.,Mi sento bene.,Чувствам се добре.,Me siento bien.,Em sento bé.,Czuję się dobrze.,Tôi cảm thấy tốt.,Osjećam se dobro.,良い感じ。,Cítím se dobře.,Jeg har det godt.,Eu me sinto bem.,Я почуваюся добре.,Mi sentas bone.,احساس خوبی دارم.,Ma tunnen end hästi.,Осећам се добро.,Voin hyvin.,Jeg føler meg bra.,Saya baik-baik saja.,Síntome ben.,나는 기분이 좋다.,Თავს კარგად ვგრძნობ.,Jól érzem magam.,Νιώθω καλά.,Ma simt bine.,मुझे अच्छा लगता है।,İyi hissediyorum.,Saya merasa baik.,Cítim sa dobre.,Sentio bonum.,ES jūtos labi.,Aš jaučiuosi gerai.,Јас се чуствувам добро.,Počutim se dobro.,مجھے اچھا محسوس ہورہا ہے.,ฉันรู้สึกดี.,நான் நன்றாக உணர்கிறேன்.,Rwy'n teimlo'n dda.,Ek voel goed.,Ndjehem mire.,আমি ভাল অনুভব করছি.,Maganda ang aking pakiramdam.,నేను మంచి అనుభూతి.,Mwen santi m 'byen.,Najisikia vizuri.,Mothaím go maith.,Mér líður vel.,મને સારું લાગે છે.,ನಾನು ಉತ್ತಮ ಭಾವನೆ.,איך פילן גוט.
"If you need my help, please let me know.","Om du behöver min hjälp, låt mig veta.",إذا كنت بحاجة إلى مساعدة بلدي، واسمحوا لي أن أعرف.,"Wenn Sie meine Hilfe brauchen, lassen Sie es mich wissen.","Siz mənim yardım lazım olduqda, xahiş edirik Mənə bildirin.","Si vous avez besoin de mon aide, s'il vous plaît laissez-moi savoir.","Nire laguntza behar baduzu, mesedez utzi naute.","Als je mijn hulp nodig hebt, laat het me weten.","Если вам нужна моя помощь, пожалуйста, дайте мне знать.","Калі вам патрэбна мая дапамога, калі ласка, дайце мне ведаць.","Se hai bisogno del mio aiuto, per favore fatemelo sapere.","Ако имате нужда от моята помощ, моля да ме уведомите.","Si necesita mi ayuda, por favor hágamelo saber.","Si necessita la meva ajuda, si us plau m'ho saber.","Jeśli potrzebujesz mojej pomocy, proszę dać mi znać.","Nếu bạn cần sự giúp đỡ của tôi, xin vui lòng cho tôi biết.","Ako vam je potrebna moja pomoć, javite mi.",あなたは私の助けが必要な場合は、私に知らせてください。,"Pokud budete potřebovat mou pomoc, dejte mi prosím vědět.","Hvis du har brug for min hjælp, så lad mig det vide.","Se você precisar da minha ajuda, por favor me avise.","Якщо вам потрібна моя допомога, будь ласка, дайте мені знати.","Se vi bezonas mian helpon, bonvolu informi min.",اگر به کمک من نیاز، لطفا اجازه دهید من می دانم.,"Kui teil on vaja minu abi, siis palun andke mulle teada.","Ако вам је потребна моја помоћ, јавите ми.","Jos tarvitset apuani, kerro minulle.","Hvis du trenger min hjelp, kan du gi meg beskjed.","Jika Anda membutuhkan bantuan saya, tolong beritahu saya.","Se precisa da miña axuda, por favor me aviso.",당신이 내 도움이 필요하면 알려 주시기 바랍니다.,"თუ თქვენ გჭირდებათ ჩემი დახმარება, გთხოვთ ნება მომეცით ვიცი.","Ha szükséged van a segítségre, kérem tudassa velem.","Αν χρειάζεστε βοήθεια μου, παρακαλώ επιτρέψτε μου να ξέρω.","Dacă aveți nevoie de ajutorul meu, te rog să-mi spuneți.","आप मेरी मदद की जरूरत है, तो कृपया मुझे बताएँ।","yardımıma ihtiyacınız olursa, lütfen bana bildirin.","Jika anda memerlukan bantuan saya, sila beritahu saya.","Ak budete potrebovať moju pomoc, dajte mi prosím vedieť.","Si vos postulo auxilium meum, placere me scire.","Ja jums ir nepieciešama mana palīdzība, lūdzu, ļaujiet man zināt.","Jei reikia mano pagalbos, prašome leiskite man žinoti.","Ако ви е потребна мојата помош, молам да ме известите.","Če potrebujete mojo pomoč, prosim povej mi.",تم میری مدد کی ضرورت ہو تو، براہ مہربانی مجھے بتاو.,หากคุณต้องการความช่วยเหลือของฉันโปรดแจ้งให้เราทราบ,"நீங்கள் என் உதவி தேவைப்பட்டால், என்னை தெரியப்படுத்துங்கள்.","Os oes angen fy help, rhowch wybod i mi.","As jy my hulp nodig het, laat my asseblief weet.","Nëse keni nevojë për ndihmën time, ju lutem let me know.","তুমি আমার সাহায্যের প্রয়োজন হয়, আমাকে দয়া করে।","Kung kailangan mo ang aking tulong, mangyaring ipaalam sa akin.","మీరు నా సహాయం అవసరం ఉంటే, నాకు తెలపండి.","Si w bezwen èd mwen, tanpri kite m 'konnen.","Kama unahitaji msaada wangu, tafadhali basi mimi kujua.","Más gá duit mo chabhair, cuir in iúl dom.","Ef þú þarft hjálp mín, vinsamlegast láttu mig vita.","તમે મારા મદદની જરૂર હોય તો, મને જણાવવા વિનંતી.","ನೀವು ನನ್ನ ಸಹಾಯ ಬೇಕಾದರೆ, ನನಗೆ ತಿಳಿಸಿ ದಯವಿಟ್ಟು.","אויב איר דאַרפֿן מיין הילף, ביטע לאָזן מיר וויסן."
I get off of work at 6.,Jag får av arbete vid 6.,أحصل على الخروج من العمل في 6.,Ich stehe um 6 Arbeit ab.,Mən 6 iş off almaq.,Je descends du travail à 6.,off lortu nuen lanaren 6 etan.,Ik stap uit van de werkzaamheden op 6.,Я получаю от работы на 6.,Я атрымліваю ад працы на 6.,Scendo di lavoro a 6.,Слизам на работа в 6.,Salgo del trabajo a las 6.,Surto de la feina a les 6.,I wysiąść z pracy na 6.,Tôi xuống xe làm việc tại 6.,Ja sići rada u 6.,私は6で仕事を下車します。,I vystoupit práce v 6.,Jeg står af på arbejde ved 6.,Saio do trabalho às 6.,Я отримую від роботи на 6.,Mi ricevas for laboron ĉe 6.,من دست از سر کار در 6.,Ma saan välja tööl 6.,Ја се са посла у 6.,Saan pois työn 6.,Jeg får ut av arbeid på seks.,Aku turun dari kerja pada 6.,Saio do traballo ás 6.,나는 6시에 작업의 하차.,მე კიდევ off მუშაობა 6.,Leszállok a munka 6.,Έχω πάρει μακριά από την εργασία σε 6.,Cobor de lucru la 6.,मैं 6 पर काम का उतर जाएं।,Ben 6'da işin inin.,Saya turun kerja di 6.,Aj vystúpiť práce v 6.,Ego impetro off opus ad VI.,Man pie darba pie 6.,Aš išlipti darbo po 6.,Јас се симне на работа на 6.,Sem dol dela na 6.,میں نے 6 میں کام سے دور ہو جاؤ.,ฉันได้รับการปิดของการทำงานที่ 6,நான் 6 மணிக்கு வேலை இறங்கினால்.,Rwy'n cael i ffwrdd o waith am 6.,Ek stap af van die werk by 6.,Unë të marrë off e punës në 6.,আমি 6 কাজের নামবো।,nakukuha ko off ng trabaho sa 6.,నేను 6 వద్ద పని ఆఫ్ పొందడానికి.,Mwen jwenn koupe nan travay nan 6.,Ninaweza kupata mbali ya kazi katika 6.,rachaidh mé saor ón obair ag 6.,Ég fæ burt af vinnu á 6.,હું 6 ખાતે કામ બંધ મેળવો.,ನಾನು 6 ಕಾರ್ಯದ ಆಫ್ ಪಡೆಯಿರಿ.,איך באַקומען אַוועק פון אַרבעט בייַ 6.
I have a headache.,Jag har huvudvärk.,عندي صداع.,Ich habe Kopfschmerzen.,Başım ağrıyır.,J'ai mal à la tête.,Buruko mina dut.,Ik heb hoofdpijn.,У меня болит голова.,У мяне баліць галава.,Ho mal di testa.,Имам главоболие.,Me duele la cabeza.,Tinc mal de cap.,Boli mnie głowa.,Tôi bị đau đầu.,Imam glavobolju.,頭痛がします。,Bolí mě hlava.,Jeg har hovedpine.,Estou com dor de cabeça.,В мене головний біль.,Mi havas kapdoloron.,سرم درد می کند.,Mul on peavalu.,Боли ме глава.,Minulla on päänsärkyä.,Jeg har hodepine.,Aku sedang sakit kepala.,Estou con dor de cabeza.,두통이 있어요.,Თავი მტკივა.,Fáj a fejem.,Εχω πονοκέφαλο.,Mă doare capul.,मुझे सिर दर्द है।,Başım ağrıyor.,Saya mempunyai sakit kepala.,Bolí ma hlava.,Habeo capitis dolore.,Man ir galvassāpes.,Man skauda galvą.,Имам главоболка.,Imam glavobol.,میرے سر میں درد ہے.,ฉันปวดหัว.,எனக்கு தலைவலி.,Mae gen i gur pen.,Ek het 'n kopseer.,Kam dhimbje koke.,আমার মাথাব্যথা.,Masakit ang ulo ko.,నాకు తలనొప్పిగా ఉంది.,Mwen gen yon tèt fè mal.,Nina maumivu ya kichwa.,Tá tinneas cinn orm.,Ég er með höfuðverk.,હું માથાનો દુખાવો હોય છે.,ನನಗೆ ತಲೆ ನೋವಿದೆ.,איך האָבן אַ קאָפּווייטיק.
